t,OF,Pcc,Tcc,Pe,Te,thrust,Isp,x,y,u,v,Ax,Ay,m_ox,n_ox,T_ox,P_ox,mdot_ox,rho_ox,m_f,n_f,T_f,P_f,mdot_f,rho_f,t_burn,Pcc_nominal,mdot_ox_nominal,OF_nominal,diameter,injector_Cd,dt,gamma,specific_gas_const,gas_const,
5.090909091,3.005707177,350.4523065,2769.159612,86172.1772,1439.794651,2124.803283,228.6681308,27.80366696,403.8707431,10.72454487,155.295613,2.097196901,29.92617916,2.724637165,0.061905282,272.8227095,3772599.476,0.801521914,913.9293974,0.999306931,0.050575212,298,3619747.425,0.266666667,788.4091603,,,,,,,,,,,
5.175757576,3.005931225,350.4761636,2769.275081,86179.15975,1439.885207,2125.409282,228.6708162,28.71733931,417.09623,10.89872985,157.7790277,2.094367027,29.86010526,2.653928539,0.060298742,272.7155046,3772004.071,0.80158166,914.512346,0.977128713,0.050575212,298,3619747.425,0.266666667,788.4091603,,,,,,,,,,,
5.260606061,3.006326096,350.5182093,2769.484879,86191.45442,1440.049852,2126.149827,228.6756967,29.64546994,430.5275883,11.07268718,160.2570721,2.091629767,29.79553457,2.583243664,0.058692742,272.6073668,3771558.121,0.801686959,915.1002679,0.954950495,0.050575212,298,3619747.425,0.266666667,788.4091603,,,,,,,,,,,
5.345454545,3.006879973,350.5771839,2769.773335,86208.66713,1440.276209,2127.013916,228.682405,30.58804075,444.1643852,11.24642367,162.729856,2.088974484,29.73228231,2.512579153,0.057087205,272.4982723,3771250.599,0.801834659,915.6931747,0.932772277,0.050575212,298,3619747.425,0.266666667,788.4091603,,,,,,,,,,,
5.43030303,3.007130947,350.6039058,2769.904427,86216.53605,1440.379088,2127.659511,228.6854532,31.54503054,458.0061269,11.41991648,165.196929,2.086044574,29.66361608,2.441942464,0.0554823,272.388216,3770664.12,0.801901586,916.2879855,0.910594059,0.050575212,298,3619747.425,0.266666667,788.4091603,,,,,,,,,,,
5.515151515,3.007534912,350.646916,2770.114115,86229.07776,1440.543685,2128.424607,228.6903289,32.51641982,472.0523509,11.59317197,167.6583913,2.083190945,29.59615284,2.371330365,0.053877953,272.2771733,3770210.494,0.80200931,916.8878528,0.888415842,0.050575212,298,3619747.425,0.266666667,788.4091603,,,,,,,,,,,
5.6,3.008081138,350.7050707,2770.402273,86246.04765,1440.76999,2129.30266,228.6970295,33.50218962,486.3026027,11.76619621,170.1143391,2.080410538,29.52984875,2.300739894,0.052274098,272.1651189,3769879.708,0.80215497,917.4928012,0.866237624,0.050575212,298,3619747.425,0.266666667,788.4091603,,,,,,,,,,,
5.684848485,3.008327062,350.7312527,2770.533195,86253.67242,1440.872849,2129.963503,228.700074,34.50231781,500.7563666,11.938966,172.5643161,2.077351032,29.45805771,2.230178462,0.050670903,272.0520467,3769272.424,0.80222055,918.0999264,0.844059406,0.050575212,298,3619747.425,0.266666667,788.4091603,,,,,,,,,,,
5.76969697,3.008709956,350.7720159,2770.732247,86265.62551,1441.029176,2130.731788,228.704701,35.51678399,515.4131579,12.11148735,175.0084167,2.074363821,29.38740008,2.159643244,0.049068304,271.9379306,3768783.08,0.802322655,918.7122208,0.821881188,0.050575212,298,3619747.425,0.266666667,788.4091603,,,,,,,,,,,
5.854545455,3.009219991,350.826313,2770.99925,86281.41693,1441.238969,2131.600735,228.7109079,36.54556807,530.2724969,12.28376504,177.446713,2.071434132,29.31760974,2.089131666,0.047466241,271.8227443,3768402.499,0.802458664,919.3297212,0.79970297,0.050575212,298,3619747.425,0.266666667,788.4091603,,,,,,,,,,,
5.939393939,3.00943226,350.84891,2771.109213,86288.10714,1441.325343,2132.254436,228.7134633,37.58864696,545.3338449,12.45577629,179.8787575,2.068230502,29.24243973,2.018651093,0.045864883,271.7064801,3767747.838,0.802515269,919.9496862,0.777524752,0.050575212,298,3619747.425,0.266666667,788.4091603,,,,,,,,,,,
6.024242424,3.009766913,350.8845346,2771.287138,86298.63555,1441.465186,2133.006148,228.7175989,38.64599913,560.5966916,12.62752616,182.3046269,2.065087716,29.16819157,1.948199079,0.044264174,271.5891104,3767197.543,0.80260451,920.5749619,0.755346535,0.050575212,298,3619747.425,0.266666667,788.4091603,,,,,,,,,,,
6.109090909,3.010214874,350.9322198,2771.517359,86312.3622,1441.646142,2133.845628,228.7229492,39.71760333,576.0605305,12.79901859,184.7243777,2.061992349,29.09462332,1.877773403,0.042664063,271.4706078,3766743.132,0.802723966,921.205597,0.733168317,0.050575212,298,3619747.425,0.266666667,788.4091603,,,,,,,,,,,
